[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
14.8G 5468k  619M  151M| 92   1   7   0   0   0| 140M 2708k
14.8G 5464k  610M  163M| 95   1   3   0   0   0| 124M 3496k
14.8G 5464k  610M  167M| 96   1   3   0   0   0| 161M 4396k
14.8G 5468k  614M  168M| 93   1   6   0   0   0| 155M 4296k
14.8G 5468k  628M  156M| 93   1   6   0   0   0| 135M 3188k
14.8G 5468k  622M  168M| 99   2   0   0   0   0| 141M 5068k
14.8G 5468k  630M  163M| 93   1   6   0   0   0| 124M 2804k
14.8G 5416k  632M  164M| 93   1   6   0   0   0| 153M 3808k
14.8G 5424k  643M  156M| 98   1   0   0   0   0| 181M 4088k
14.8G 5476k  636M  167M| 93   1   6   0   0   0| 135M 3852k
14.8G 5476k  651M  161M| 98   1   0   0   0   0| 143M   11M
14.8G 5476k  658M  164M| 93   1   6   0   0   0|  91M   10M
14.8G 5472k  670M  161M| 99   1   0   0   0   0| 104M   10M
14.8G 5480k  681M  161M| 93   1   6   0   0   0|  93M   10M
14.8G 5480k  690M  162M| 99   1   0   0   0   0|  99M   10M
14.7G 5480k  684M  177M| 96   1   3   0   0   0|  69M   10M
14.7G 5480k  684M  177M| 97   1   2   0   0   0| 188k    0 
14.7G 5480k  706M  155M| 94   0   5   0   0   0|  46M    0 
14.7G 5488k  706M  154M|100   0   0   0   0   0|  48k   24k
14.7G 5488k  706M  154M|100   0   0   0   0   0|  40k    0 
14.8G 5488k  666M  170M| 93   1   5   1   0   0|  26M 8924k
14.8G 5488k  666M  170M|100   0   0   0   0   0| 140k    0 
14.8G 5488k  666M  170M|100   0   0   0   0   0| 308k    0 
14.8G 5496k  666M  170M| 94   0   6   0   0   0|  28k   16k
14.8G 5496k  666M  170M|100   0   0   0   0   0| 492k    0 
14.8G 5496k  666M  168M| 97   0   3   0   0   0|1408k    0 
14.8G 5496k  666M  168M| 97   0   2   0   0   0|  24k    0 
14.8G 5496k  666M  168M|100   0   0   0   0   0|  84k    0 
14.8G 5504k  666M  167M| 95   0   6   0   0   0| 160k   12k
14.8G 5504k  666M  167M|100   0   0   0   0   0|  92k    0 
14.8G 5504k  666M  167M|100   0   0   0   0   0|  68k    0 
14.8G 5504k  666M  167M| 94   0   6   0   0   0|  92k    0 
14.8G 5504k  666M  167M|100   0   0   0   0   0| 132k    0 
