[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.4G  340k 71.6M  137M| 19  15  31  34   0   1| 104M  604k
15.4G  336k 70.4M  143M| 89  11   0   0   0   1| 121M 6288k
15.4G  384k 63.9M  145M| 76  10  11   2   0   0| 131M 2488k
15.4G  368k 71.1M  141M| 85  14   0   1   0   1| 235M 4088k
15.4G  348k 68.9M  144M| 65  14  18   3   0   1| 133M 4904k
15.4G  344k 70.6M  139M| 85  14   0   0   0   1| 197M 4312k
15.4G  336k 70.3M  140M| 30  14  30  24   0   0| 210M 4588k
15.4G  388k 71.8M  137M| 72  15   0  12   0   1| 230M 1748k
15.4G  356k 70.2M  138M| 42  15  20  22   0   1| 287M 7408k
15.4G  348k 72.1M  134M| 70  16   3  10   0   1| 251M 3832k
15.4G  348k 57.7M  147M| 28   9   1  61   0   0| 270M 2168k
15.4G  372k 67.1M  137M| 13  15   6  66   0   0| 174M 2084k missed 2 ticks
15.4G  412k 64.2M  141M| 32  15  15  38   0   1| 138M 2156k
15.4G  380k 58.8M  146M| 65  14   2  18   0   1| 319M 3944k
15.4G  404k 69.2M  137M| 42  14  30  13   0   0| 166M 4036k
15.4G  380k 63.3M  140M| 59  15   2  23   0   1| 255M 3000k
15.4G  376k 68.5M  137M| 68  16   1  14   0   1| 194M 3248k
15.4G  376k 65.6M  138M| 63  15  12   9   0   1| 185M 1156k
15.4G  376k 69.1M  135M| 65  14   1  20   0   1| 357M 6588k
15.4G  368k 70.8M  132M| 22  19  13  46   0   1| 591M 4444k
15.4G  344k 57.1M  146M| 90   8   0   0   0   1|  25M  760k missed 2 ticks
15.4G  340k 72.1M  132M| 67  13  14   5   0   0| 234M 5624k
15.4G  344k 68.8M  133M| 69  16   7   7   0   1| 678M   11M
15.4G  320k 66.6M  143M| 47  29   6  17   0   1| 123M  572k missed 2 ticks
15.4G  376k 65.1M  146M| 84  11   0   4   0   0| 110M  932k
15.4G  364k 75.3M  133M| 75  12   7   5   0   1| 296M 3932k
15.4G  348k 71.3M  137M| 33  15   3  48   0   1| 324M 4228k
15.4G  340k 67.9M  142M| 60  15   1  23   0   1| 139M 1096k
15.4G  340k 72.5M  135M| 28  16  10  45   0   1| 264M 4604k
15.4G  328k 69.9M  141M| 62  15  10  13   0   1| 333M 5248k
15.4G  336k 70.4M  136M| 83  15   0   1   0   1|  78M  660k
15.4G  336k 71.2M  138M| 64  14   6  15   0   1| 344M 5680k
15.4G  332k 72.0M  135M| 41  15  24  19   0   0|  99M  512k
15.4G  332k 69.4M  142M| 87  12   0   1   0   1| 182M 6192k
15.4G  324k 69.5M  140M| 58  13  25   3   0   1| 160M 4320k
15.4G  356k 68.3M  144M| 87  13   0   0   0   1| 157M 4124k
15.4G  364k 63.8M  145M| 86  12   1   1   0   1| 143M 3788k
15.4G  340k 74.9M  134M| 58  13  18  11   0   1| 237M 3540k
15.4G  332k 70.2M  140M| 88  12   0   0   0   0|  93M 4132k
15.4G  332k 68.4M  138M| 88  11   0   0   0   0| 109M 2728k
15.4G  332k 73.1M  136M|  7  14   7  72   0   0| 527M 6928k
15.4G  332k 72.7M  135M| 43  15   8  33   0   0| 191M 3132k missed 4 ticks
15.4G  332k 68.7M  137M| 84  16   0   0   0   0|  38M 1124k
15.4G  336k 73.5M  132M| 67  19   2  11   0   0| 300M 5408k
15.4G  372k 72.4M  132M| 57  19   7  17   0   1| 369M 2048k
15.4G  372k 74.2M  132M| 79  18   0   2   0   2|  19M  624k
15.4G  360k 73.5M  131M| 33  19   8  39   0   1| 332M 3200k
15.4G  348k 74.3M  131M| 60  19   3  18   0   0| 152M 2880k
15.4G  344k 72.1M  137M| 35  16   3  46   0   1| 826M 8148k
15.4G  348k 72.6M  133M| 26  18   7  49   0   0| 629M 8000k missed 4 ticks
15.4G  348k 73.3M  136M| 25  16  18  42   0   0| 108M  720k
15.4G  348k 73.5M  135M| 90  10   0   0   0   0|1220k   52k
15.4G  348k 70.6M  140M| 84  14   0   1   0   0| 251M 7244k
15.4G  348k 68.0M  140M| 70  12  14   4   0   0|  41M  748k
15.4G  344k 69.9M  140M| 63  14  17   5   0   0| 210M 6832k
15.4G  344k 68.3M  137M| 86  13   0   0   0   0| 103M 2720k
15.4G  344k 70.5M  138M| 63  13  17   7   0   0| 132M 5456k
15.4G  340k 70.7M  137M| 89  11   0   0   0   0| 102M 2500k
15.4G  336k 73.7M  135M| 72  13   6   8   0   1| 187M 5444k
