application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.77911,0.301796,0.236483,50.0626,54.0554,2.19503,0.0561379,54.1637,2.19943,8342.32
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.70501,0.32917,0.424745,51.6832,56.5475,2.07185,0.0585022,56.6609,2.076,7491.37
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.6341,0.387237,0.498379,53.1926,56.8751,2.01328,0.0587706,56.989,2.01732,7658.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,2.67593,0.318837,0.422716,50.9148,55.8801,2.05562,0.0579936,55.8242,2.05356,7574.48
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.64929,0.296612,0.40678,50.5556,55.7213,2.03707,0.0576428,55.8329,2.04115,7722.28
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.7101,0.226315,0.413229,51.1723,56.2811,2.09996,0.0582643,56.3939,2.10416,7297.41
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.85566,0.296835,0.268903,49.5304,54.194,2.02249,0.0561041,54.3026,2.02654,7163.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.07423,0.353655,0.314426,49.1115,54.7042,2.01117,0.0566019,54.8138,2.0152,6667.17
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.93577,0.278661,0.277672,43.9748,51.9128,1.84939,0.0536546,52.0168,1.85309,6043.03
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.14148,0.275874,0.329361,44.1917,52.2985,1.83237,0.0540226,52.4033,1.83605,5726.38
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.0351,0.325221,0.331049,44.0684,52.4511,1.8319,0.0541744,52.5562,1.83557,5837.66
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.7861,0.274705,0.300872,42.6464,50.9094,1.75024,0.0525543,51.0114,1.75375,5922.86
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.00434,0.384027,0.294251,37.852,49.5575,1.66358,0.0511186,49.6568,1.66692,4926.84
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.80396,0.29965,0.281245,39.4493,49.6229,1.68877,0.0512091,49.7224,1.69215,5330.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.98896,0.426531,0.278602,37.806,49.7102,1.65961,0.0512671,49.8098,1.66293,4955.72
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.9405,0.41887,0.266609,37.9334,50.2476,1.82247,0.0519659,50.3483,1.82613,5842.7
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.44082,0.342216,0.189277,38.7224,49.0247,2.03112,0.0509537,49.1229,2.03519,6843.77
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.27854,0.352969,0.185975,40.0934,49.0881,2.01695,0.0510029,49.1865,2.021,6730.49
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.48284,0.397618,0.18651,38.0359,48.6446,1.95799,0.0505014,48.7421,1.96191,5977
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05617,0.314578,0.292148,40.0826,50.2477,1.87708,0.0520205,50.3484,1.88084,6164.17
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,3.02377,0.267115,0.544591,34.5155,49.7245,1.64135,0.0512632,49.8242,1.64464,4640.81
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.25306,0.281626,0.392916,31.5494,47.8315,1.5446,0.0492773,47.9273,1.54769,3831.33
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.89653,0.317878,0.325965,32.7434,47.8087,1.59816,0.0493081,47.9045,1.60136,4393.22
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.07585,0.377605,0.341925,29.1791,46.7834,1.66801,0.0483545,46.8771,1.67135,4336.09
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.96028,0.42206,0.311617,17.4448,42.0212,1.4593,0.0433936,42.1055,1.46222,2837.96
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.28181,0.293944,0.185438,16.1073,40.6489,1.4585,0.0420232,40.7304,1.46143,2993.85
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.35697,0.787062,0.514093,13.7378,39.661,1.06901,0.0406486,39.7405,1.07115,988.242
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.757137,0.85376,0.462186,3.01304,31,0.769192,0.0317057,31.0621,0.770734,88.4009
grep,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.04037,0.952674,0.54922,8.81604,38.9388,0.910488,0.0398095,38.9778,0.911399,151.83
grep,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.25659,0.926885,0.578725,12.3871,40.0473,0.919851,0.0408852,40.1276,0.921695,405.268
grep,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.12793,0.934435,0.606248,11.9349,39.9249,0.913685,0.0407569,40.0049,0.915516,185.081
grep,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.1982,0.903142,0.607099,14.7489,40.9564,0.955684,0.0418701,40.9974,0.956641,487.013
